"Name_eBird","Names_Birdlife","nb_spc"
"Phibalura.flavirostris","Phibalura.boliviana Phibalura.flavirostris",2
"Phyllomyias.burmeisteri","Phyllomyias.burmeisteri Phyllomyias.zeledoni",2
"Phylloscopus.collybita","Phylloscopus.tristis",1
"Piaya.cayana","Piaya.cayana Piaya.mexicana",2
"Picoides.tridactylus","Picoides.tridactylus",1
"Picumnus.squamulatus","Picumnus.squamulatus",1
"Pionites.leucogaster","Pionites.leucogaster Pionites.xanthomerius Pionites.xanthurus",3
"Pionus.menstruus","Pionus.menstruus Pionus.reichenowi",2
"Pionus.tumultuosus","Pionus.seniloides Pionus.tumultuosus",2
"Pipile.cumanensis","Pipile.cumanensis Pipile.grayi",2
"Pipilo.maculatus","Pipilo.maculatus Pipilo.socorroensis",2
"Pipraeidea.bonariensis","Pipraeidea.bonariensis Pipraeidea.darwinii",2
"Pipreola.frontalis","Pipreola.frontalis Pipreola.squamipectus",2
"Piranga.flava","Piranga.flava Piranga.hepatica",2
"Platyrinchus.mystaceus","Platyrinchus.albogularis Platyrinchus.mystaceus",2
"Podiceps.occipitalis","Podiceps.juninensis Podiceps.occipitalis",2
"Poliocrania.exsul","Poliocrania.exsul Poliocrania.maculifer",2
"Polioptila.plumbea","Polioptila.plumbea",1
"Premnoplex.tatei","Premnoplex.pariae Premnoplex.tatei",2
"Psarocolius.angustifrons","Psarocolius.angustifrons Psarocolius.oleagineus",2
"Psarocolius.bifasciatus","Psarocolius.bifasciatus Psarocolius.yuracares",2
"Pseudocolaptes.lawrencii","Pseudocolaptes.johnsoni Pseudocolaptes.lawrencii",2
"Psittacara.holochlorus","Psittacara.holochlorus Psittacara.rubritorquis",2
"Psophia.crepitans","Psophia.crepitans Psophia.ochroptera",2
"Psophia.viridis","Psophia.dextralis Psophia.obscura Psophia.viridis",3
"Pterodroma.hasitata","Pterodroma.hasitata",1
"Pteroglossus.bitorquatus","Pteroglossus.bitorquatus Pteroglossus.sturmii",2
"Pteroglossus.inscriptus","Pteroglossus.humboldti Pteroglossus.inscriptus",2
"Pteroglossus.torquatus","Pteroglossus.erythropygius Pteroglossus.sanguineus Pteroglossus.torquatus",3
"Pyrocephalus.rubinus","Pyrocephalus.nanus Pyrocephalus.rubinus",2
"Pyrrhura.amazonum","Pyrrhura.amazonum Pyrrhura.snethlageae",2
"Pyrrhura.melanura","Pyrrhura.melanura Pyrrhura.pacifica",2
"Pyrrhura.picta","Pyrrhura.eisenmanni Pyrrhura.emma Pyrrhura.picta",3
"Pyrrhura.roseifrons","Pyrrhura.parvifrons Pyrrhura.peruviana Pyrrhura.roseifrons",3
"Ramphastos.tucanus","Ramphastos.cuvieri Ramphastos.tucanus",2
"Ramphastos.vitellinus","Ramphastos.citreolaemus Ramphastos.culminatus Ramphastos.vitellinus",3
"Ramphocelus.flammigerus","Ramphocelus.flammigerus Ramphocelus.icteronotus",2
"Ramphocelus.passerinii","Ramphocelus.costaricensis Ramphocelus.passerinii",2
"Rhea.pennata","Rhea.pennata Rhea.tarapacensis",2
"Rhynchocyclus.olivaceus","Rhynchocyclus.aequinoctialis Rhynchocyclus.olivaceus",2
"Sakesphorus.canadensis","Sakesphorus.canadensis Sakesphorus.pulchellus",2
"Saltator.coerulescens","Saltator.coerulescens Saltator.grandis Saltator.olivascens",3
